;Buurtnaam;koopprijs
1934;De Landmaten;259707,31707317074
1935;De Landstreken;206142,85714285713
1936;De Lanen;420294,54545454547
1937;De Lariks Oost;175357,14285714287
1938;De Lariks West;136931,0810810811
1939;De Leeuwerik;301718,75
1940;De Leigraaf De Steenderens;273022,7272727273
1941;De Leijen;444926,8292682927
1942;De Leijzoom;717000,0
1943;De Leyens;292670,0
1944;De Lichtenberg;614000,0
1945;De Lier Centrumgebied;263800,0
1946;De Lier West;332500,0
1947;De Lingert;293035,71428571426
1948;De Linie;302617,2413793103
1949;De Lok;224700,0
1950;De Loo;191850,0
1951;De Loosters;376333,3333333333
1952;De Lors;270494,04761904763
1953;De Loverbosch;360681,8181818182
1954;De Lutte kern;302204,7619047619
1955;De Maat;343263,15789473685
1956;De Maaten;290718,75
1957;De Maer;284878,5714285714
1958;De Mammoet;386100,0
1959;De Manege;264000,0
1960;De Mare;215466,66666666666
1961;De Marken;249924,24242424243
1962;De Markiezaten;312764,70588235295
1963;De Maten;302712,81666666665
1964;De Meene;235200,0
1965;De Meenten;227702,77777777778
1966;De Meerendonk;342428,5714285714
1967;De Meern Noord;431906,5934065934
1968;De Meern Zuid;358739,5833333333
1969;De Meeuwen;293409,0909090909
1970;De Meijbree;334346,1538461539
1971;De Melm;649000,0
1972;De Meren;480333,3333333333
1973;De Messchen;271990,9090909091
1974;De Mheen;236662,96296296295
1975;De Moer;592875,0
1976;De Moerputten;695000,0
1977;De Mors en Plaagslagen;522000,0
1978;De Morsebel;413541,6666666667
1979;De Mortel;379730,76923076925
1980;De Muntel;345784,3137254902
1981;De Munten;285780,97101449274
1982;De Muziekinstrumentenbuurt;201750,0
1983;De Naald;213100,0
1984;De Nieuwe Erven;311000,0
1985;De Nieuweling;278125,0
1986;De Nieuwesluis;231045,45454545456
1987;De Nollen;461107,14285714284
1988;De Noord;353401,61202185793
1989;De Noord Es;283002,3333333333
1990;De Noork;199638,88888888888
1991;De Notel;398320,5128205128
1992;De Oeverloperwijk;182781,25
1993;De Olykampen;190492,85714285713
1994;De Omval;546272,7272727273
1995;De Ooi;181656,25
1996;De Oude Omdraaier;521125,0
1997;De Oude Wereld Oost;315458,3333333333
1998;De Oude Wereld West;308933,3333333333
1999;De Overlaet Oost;306265,9574468085
2000;De Overlaet West;328179,4871794872
2001;De Overmaat;197100,0
2002;De Paauw;1499800,0
2003;De Parken;591204,9180327869
2004;De Pas;249823,5294117647
2005;De Pas Noord;384500,0
2006;De Pas Zuid;393375,0
2007;De Peulen;255833,33333333334
2008;De Plaatsen;243187,5
2009;De Plantage;301870,3703703704
2010;De Ploen;322045,45454545453
2011;De Pol;275098,48484848486
2012;De Pol en Akkermansweide;700000,0
2013;De Polders;390905,4054054054
2014;De Pothof;245363,63636363635
2015;De Punt;224806,81818181818
2016;De Purmer (gedeeltelijk);850000,0
2017;De Rat Cloosterkamp;200441,17647058822
2018;De Reede;282000,0
2019;De Reit;234571,42857142858
2020;De Rekere;378205,8823529412
2021;De Riet;246100,0
2022;De Rietschoof;349000,0
2023;De Rietvink;768631,5789473684
2024;De Rijp;342620,0
2025;De Rips;296250,0
2026;De Risselt;257428,57142857142
2027;De Rivieren;309333,3333333333
2028;De Rompert;273000,0
2029;De Sandeling;303916,6666666667
2030;De Schans;177937,5
2031;De Schans en Oude Molen;375176,4705882353
2032;De Schansen;267088,23529411765
2033;De Scheifelaar;438965,3846153846
2034;De Schenge;359000,0
2035;De Schutskamp;231593,02325581395
2036;De Singels;239746,9135802469
2037;De Slagen;200500,0
2038;De Slank;442000,0
2039;De Spiker en het industrieterrein Hermes;207115,38461538462
2040;De Sprookjesbuurt;169500,0
2041;De Staart;237583,33333333334
2042;De Staatsliedenbuurt;265764,70588235295
2043;De States;267282,60869565216
2044;De Steeg;386000,0
2045;De Steenkamp;283100,0
2046;De Steiger;300000,0
2047;De Steinen;179704,83870967742
2048;De Stichting;496000,0
2049;De Stoepen;251961,53846153847
2050;De Stoof;328166,6666666667
2051;De Stouwe;226000,0
2052;De Streek;154791,66666666666
2053;De Streep;204225,0
2054;De Struiken;157305,55555555556
2055;De Swetten;180527,77777777778
2056;De Thij;221197,76119402985
2057;De Tichelarij;384115,3846153846
2058;De Tike;297000,0
2059;De Top;225437,5
2060;De Trije Terpen;449000,0
2061;De Trisken;169726,7441860465
2062;De Tuinen;338229,1666666667
2063;De Uilenboom;296357,14285714284
2064;De Uithof;655777,7777777778
2065;De Vaarst;278884,6153846154
2066;De Valk;434000,0
2067;De Vallei;429125,0
2068;De Vecht;295000,0
2069;De Veenen;703375,0
2070;De Veenhoop;377166,6666666667
2071;De Veenhuis/Achterhoek;525000,0
2072;De Velde Zwartewatersklooster;235000,0
2073;De Velden;425154,609375
2074;De Velden en Beken;237009,25925925927
2075;De Velden/De Stukken;168486,36363636365
2076;De Velft;199000,0
2077;De Venen;237180,8510638298
2078;De Venen Centrum;429577,16
2079;De Venen Oost;384425,0
2080;De Venen en Zanden;285600,4074074074
2081;De Venen/Craeyenburch;626617,6470588235
2082;De Venen/De Wallen;205680,0
2083;De Vennen;441000,0
2084;De Vergert;187416,66666666666
2085;De Ververt;164583,33333333334
2086;De Verwondering;304634,6153846154
2087;De Veste;284476,1904761905
2088;De Vesting;312565,0
2089;De Villa;611500,0
2090;De Vissen;407168,5714285714
2091;De Vliert;404032,7868852459
2092;De Vlinderhoven/Sveaholm;322925,0
2093;De Vogelwijk;234905,4054054054
2094;De Volkstuinen;424100,0
2095;De Voort en Achterste Heikant;524333,3333333334
2096;De Vordel;417666,6666666667
2097;De Vosholen Oost;249500,0
2098;De Vosholen West;229429,03225806452
2099;De Vughtse Hoeven;317409,0909090909
2100;De Vutter;585000,0
2101;De Waag;329166,6666666667
2102;De Waard;293914,28571428574
2103;De Wadden;374433,3333333333
2104;De Waranda;810625,0
2105;De Warande;616600,0
2106;De Watering;293713,11475409835
2107;De Watertuinen;374229,7297297297
2108;De Weem;498400,0
2109;De Weere;312500,0
2110;De Weere (gedeeltelijk);559000,0
2111;De Weertjes;365000,0
2112;De Weiden;244000,0
2113;De Were en omgeving;315933,3333333333
2114;De Wereldsteden;445529,4117647059
2115;De Weren;202775,8620689655
2116;De Werven;228854,80952380953
2117;De Wester Quartier;397526,3157894737
2118;De Westereen;241238,09523809524
2119;De Wetbuurt;513000,0
2120;De Wetering;300423,07692307694
2121;De Whee I;152900,0
2122;De Whee II Noord;239892,85714285713
2123;De Whee II Zuid;211388,88888888888
2124;De Wheem;319142,85714285716
2125;De Wierden;215229,16666666666
2126;De Wijert;164958,90410958903
2127;De Wijert Zuid;339250,0
2128;De Wijher en omgeving;421166,6666666667
2129;De Wijk;245770,0
2130;De Wijngaard;276541,6666666667
2131;De Wiken;160853,57142857142
2132;De Wiken Oost;140048,38709677418
2133;De Wilgen;569000,0
2134;De Wilp (gedeeltelijk);236175,0
2135;De Wittenbuurt Noord;431333,3333333333
2136;De Wittenbuurt Zuid;437500,0
2137;De Wittenhagen Noord;223909,0909090909
2138;De Wittenhagen Zuid;254136,36363636365
2139;De Woerd;344666,6666666667
2140;De Zanderij;413650,0
2141;De Zandloper;575000,0
2142;De Zandschel;397500,0
2143;De Zeis;284666,6666666667
2144;De Zijde;399547,61904761905
2145;De Zoom;345068,1818181818
2146;De Zuid;339382,35294117645
2147;De Zuid Es;322308,6
2148;De abdij;254285,7142857143
2149;De gagels;243250,0
2150;De gamert;686166,6666666666
2151;De oude Stad binnen de gracht;403000,0
2152;Dearsum;105000,0
2153;Deckerstraat Bergdijk;341333,3333333333
2154;Dedemsvaart Noord;218547,0588235294
2155;Dedemsvaart Zuidoost;275321,347826087
2156;Dedemsvaart Zuidwest;236055,55555555556
2157;Deest;288166,6666666667
2158;Deil;332315,7894736842
2159;Deil e.o.;399000,0
2160;Deinum;273910,71428571426
2161;Delden Centrum;219312,5
2162;Delflandpleinbuurt Oost;477375,0
2163;Delflandpleinbuurt West;329792,0
2164;Delfshaven;288526,96078431373
2165;Delfstrahuizen Buitengebied;218400,0
2166;Delftlanden;257906,77777777778
2167;Delftzicht;408900,0
2168;Delfzijl Centrum;99863,63636363637
2169;Delfzijl Noord;197681,81818181818
2170;Delfzijl West;147133,33333333334
2171;Deltabuurt;145303,92156862744
2172;Den Andel;89000,0
2173;Den Berg;299250,0
2174;Den Bogerd;332848,83720930235
2175;Den Bommel buitengebied;272600,0
2176;Den Bommel woonkern;237909,0909090909
2177;Den Burg;301204,54545454547
2178;Den Dam;323511,3333333333
2179;Den Dolder Noord;466088,23529411765
2180;Den Dolder Zuid;483673,07692307694
2181;Den Dungen;387987,5
2182;Den Esch;207833,33333333334
2183;Den Ham;285605,2631578947
2184;Den Hoorn;375695,5968992248
2185;Den Horn;252500,0
2186;Den Hout;436222,22222222225
2187;Den Ilp;617170,3333333334
2188;Den Nul Kern;247416,66666666666
2189;Den Oever;163272,72727272726
2190;Den Texbuurt;833095,2380952381
2191;Den Treek Henschoten;599500,0
2192;Dennenheuvel;498500,0
2193;Dennenkamp;469625,0
2194;Deppenbroek;174250,0
2195;Derde Kruisdiep;187125,0
2196;Derde woonwijk;320017,3267326733
2197;Deurne Centrum;284126,3157894737
2198;Deursen en Dennenburg;272000,0
2199;Deurze;252000,0
2200;Deuteren;327266,6666666667
2201;Develzijde Nederhoven;410875,0
2202;Deventerweg en Polbeek;330200,0
2203;Dever;244500,0
2204;Diamantbuurt;483454,54545454547
2205;Dichters  en Schrijversbuurt;285076,92307692306
2206;Dichters  en Vogelbuurt;791156,25
2207;Dichtersbuurt;258580,15568862276
2208;Dichtersbuurt Midden;182000,0
2209;Dichtersbuurt West;188929,41176470587
2210;Dichtershof;217000,0
2211;Dichterswijk;391270,8333333333
2212;Didam Noord;263187,5
2213;Didam Zuid;262935,48387096776
2214;Dideldom;185785,7142857143
2215;Diefdijk (gedeeltelijk);449000,0
2216;Diekendaal Nieuwerf;294600,0
2217;Diemewei;282400,0
2218;Diepenbrockbuurt;2169000,0
2219;Diepengoor;269500,0
2220;Diepenheim Noord;310388,8888888889
2221;Diepenheim Zuid;322500,0
2222;Diepswal;337100,0
2223;Diepvoorde;189269,23076923078
2224;Dieren Noord boven spoorlijn;208180,23255813954
2225;Dieren West boven spoorlijn;251877,04918032786
2226;Dieren Zuid beneden spoorlijn;338666,6666666667
2227;Dierenbuurt;266666,6666666667
2228;Diergaarde;747000,0
2229;Diessen;412462,962962963
2230;Dieteren;194285,7142857143
2231;Dietsveld;348617,64705882355
2232;Diever;325998,1666666667
2233;Dieverbrug;408333,3333333333
2234;Dieze Centrum;209863,63636363635
2235;Dijk;298045,45454545453
2236;Dijkdorp Blankenham;192000,0
2237;Dijkpolder;357224,0909090909
2238;Dijkstraat en omgeving;164000,0
2239;Dijkstraten;354368,4210526316
2240;Dijkveld;290000,0
2241;Dijkzigt;498340,9090909091
2242;Dijnselburg;351955,55555555556
2243;Dikkenberg;600000,0
2244;Dikkerslaan Molenkampsweg en omgeving;323033,3333333333
2245;Dillenburg en Stadhouderskwartier;209541,66666666666
2246;Dinteloord;273132,2033898305
2247;Dinxperlo Centrum/Oost;196196,5909090909
2248;Dinxperlo Noord;252352,9411764706
2249;Dinxperlo West;238933,84615384616
2250;Dinxterveen;343750,0
2251;Dirkshorn;319934,7826086957
2252;Dirksland buitengebied;400000,0
2253;Dirksland centrum;216306,76470588235
2254;Dirksland industriegebied;296625,0
2255;Dirksland noord;293894,7368421053
2256;Dirksland zuid;346857,14285714284
2257;Dishoek;204250,0
2258;Distelberg;850666,6666666666
2259;Distillateursbuurt;126765,625
2260;Dobbewijk;300944,44444444444
2261;Dobbewijk Noord;304466,6666666667
2262;Dobbewijk Zuid;350333,3333333333
2263;Doesburg;709437,5
2264;Doeskwartier;302444,44444444444
2265;Doeveren;281250,0
2266;Doezum;244400,0
2267;Dokkum De Woudhorne;322600,0
2268;Dokkum Fonteinslanden;241153,84615384616
2269;Dokkum Fugellan;220441,17647058822
2270;Dokkum Hoedemakerspolder;247370,96774193548
2271;Dokkum Jantjeszeepolder;240722,22222222222
2272;Dokkum Kooilanden;299366,6666666667
2273;Dokkum Noord;175875,0
2274;Dokkum Weeshuislanden;311437,5
2275;Dokkum binnen de Bolwerken;258785,7142857143
2276;Dokkumer Nieuwe Zijlen;425000,0
2277;Dokter A. Hoynck van Papendrechtstraat Dokter Duc;268722,22222222225
2278;Dolderkanaal;179000,0
2279;Doldersum;498500,0
2280;Dolphia;164500,0
2281;Domburg;359208,3333333333
2282;Domineesberg;387892,85714285716
2283;Dommelen;339821,4285714286
2284;Domplein  Neude  Janskerkhof;546875,0
2285;Don Bosco;549133,3333333334
2286;Donderberg;353625,0
2287;Donderen;323750,0
2288;Donderstraat;645608,695652174
2289;Dongen Vaart;480333,3333333333
2290;Dongewijk Noord;264964,10714285716
2291;Dongewijk Zuid;236583,33333333334
2292;Dongjum;116125,0
2293;Donk;283812,5
2294;Donken;184011,11111111112
2295;Donkenbuurt;245625,0
2296;Donkerbroek;209785,7142857143
2297;Donkersloot;262500,0
2298;Donzel;419000,0
2299;Doonheide;466181,8181818182
2300;Doorn Centrum;516300,0
2301;Doorn West;601029,4117647059
2302;Doorn Zuid;363428,5714285714
2303;Doornakkers Oost;268777,77777777775
2304;Doornakkers West;290880,0
2305;Doornbos Linie;310888,8888888889
2306;Doornenburg;229400,0
2307;Doornspijk;352000,0
2308;Doorslag;262241,17647058825
2309;Doorwerth Zuid;214331,6326530612
2310;Doorwerthsestraat;695000,0
2311;Doorzwin;156824,29411764705
2312;Dordsedijk;315000,0
2313;Dordtse Biesbosch;701250,0
2314;Dordtse Hout;424384,6153846154
2315;Dorkwerd;175000,0
2316;Dorp;271245,2961672474
2317;Dorp 't Goy;393700,0
2318;Dorp Bathmen;301644,0677966102
2319;Dorp Bergschenhoek;322815,2173913043
2320;Dorp Boekelo;293857,14285714284
2321;Dorp Colmschate;312690,4761904762
2322;Dorp Daarle;242112,5
2323;Dorp Daarlerveen;215586,66666666666
2324;Dorp Diepenveen;472227,2727272727
2325;Dorp Driemond;372880,95238095237
2326;Dorp Goudriaan;353142,85714285716
2327;Dorp Haarle;348187,5
2328;Dorp Lettele;435000,0
2329;Dorp Lonneker;288937,5
2330;Dorp Noord;332925,0
2331;Dorp Noordoost;256357,14285714287
2332;Dorp Schalkhaar;362074,4680851064
2333;Dorp Schalkwijk West;430421,05263157893
2334;Dorp Sloten;427863,63636363635
2335;Dorp Warnsveld;363393,9393939394
2336;Dorp Wassenaar;552558,8235294118
2337;Dorp Zuid;411000,0
2338;Dorp Zuidoost;341282,0512820513
2339;Dorp en Hoonaart;210216,66666666666
2340;Dorp oost;303071,4285714286
2341;Dorper Es;461000,0
2342;Dorpscentrumcentrum;371666,6666666667
2343;Dorpskern;409754,297188755
2344;Dorpskern Hooglanderveen;479166,6666666667
2345;Dorpsstraat e.o.;445125,0
2346;Dorpstraat Sengelsbroeksestraat;424000,0
2347;Dorpzicht;359666,6666666667
2348;Dorrestein;571875,0
2349;Dorrestein Noord;343812,5
2350;Dorrestein Zuid;258635,13513513515
2351;Dorst;331655,55555555556
2352;Dortherhoek;720000,0
2353;Dorus Rijkersstraat en omgeving;200150,0
2354;Dousberg Hazendans;299812,9032258064
2355;Douve Weien;202388,09523809524
2356;Dovenkamp;698000,0
2357;Dr. Nolensplein en omgeving;168236,84210526315
2358;Dr. Poelsplein e.o.;190375,0
2359;Dr. Schaepmanbuurt;230600,0
2360;Dr. Schaepmanplein en omgeving;113441,66666666667
2361;Draaiboom;267763,15789473685
2362;Draaistok;341295,652173913
2363;Drachtstercompagnie;312833,3333333333
2364;Dragonder Noord;273297,9591836735
2365;Dragonder Oost;318265,6862745098
2366;Dragonder Zuid;194474,0
2367;Drakensteyn en omgeving;153000,0
2368;Dreischor;311730,76923076925
2369;Drempt;275944,44444444444
2370;Drents Dorp;219789,47368421053
2371;Drentsebuurt;239857,14285714287
2372;Dreven;186084,61538461538
2373;Dreven en Gaarden;223897,70454545456
2374;Drevenbuurt;336313,15789473685
2375;Dreyeroord;485000,0
2376;Drie Papegaaien;1046000,0
2377;Drieban (gedeeltelijk)  Hem;370375,0
2378;Drieban (gedeeltelijk)  Venhuizen;439000,0
2379;Driebergen Noord;606461,5384615385
2380;Driebergseweg;262904,7619047619
2381;Drieborg Centrum;119500,0
2382;Driebruggen;322823,5294117647
2383;Driehoek;492750,0
2384;Driehoek en omgeving;247000,0
2385;Driehoekbuurt;484772,7272727273
2386;Driehoeksbos;586625,0
2387;Driehoven;455708,3333333333
2388;Driehuis Dorp;427821,4285714286
2389;Driehuizen;280450,8064516129
2390;Driel;278714,28571428574
2391;Drielanden;237937,5
2392;Drielanden Centrum;300177,4193548387
2393;Driemanspolder;192506,01503759398
2394;Drienerveld U.T.;625000,0
2395;Driesprong/Ginkel;750600,0
2396;Drievliet;289173,2876712329
2397;Driewegen (Kern);192083,33333333334
2398;Driezum;219368,41666666666
2399;Drift;277800,0
2400;Drift Sportlaan en Bornia;422700,0
2401;Drimmelen;434666,6666666667
2402;Drogeham;189041,66666666666
2403;Drogteropslagen;264833,3333333333
2404;Dronenwijk;255575,0
2405;Drongelen;483750,0
2406;Dronryp;214125,0
2407;Dronryp   Verspreide huizen;406250,0
2408;Drostinnewijk;462333,3333333333
2409;Drouwen;362500,0
2410;Drouwenermond;217000,0
2411;Drouwenerveen;293666,6666666667
2412;Drukkersbuurt;252681,81818181818
2413;Drumpt;324442,3076923077
2414;Druten;281066,17647058825
2415;Druten Bouwing;293826,92307692306
2416;Druten Buitengebied;575000,0
2417;Druten Westerhout;415000,0
2418;Druten Zuid;245648,14814814815
2419;Dubbeldam Noord;292273,58490566036
2420;Dubbeldam Zuid;402916,6666666667
2421;Duin;551812,5
2422;Duin en Bosch;906814,2857142857
2423;Duinbuurt;207490,9090909091
2424;Duindigt met Groenendaal;553333,3333333334
2425;Duindorp;268806,8181818182
2426;Duinen Gebied;832000,0
2427;Duinenbuurt;349000,0
2428;Duinhoeck;1150000,0
2429;Duinlustpark;1442500,0
2430;Duinoord;407666,6666666667
2431;Duinterpen;274654,28571428574
2432;Duinvlietbuurt;230833,33333333334
2433;Duinzigt;459056,338028169
2434;Duisterweg;425241,3793103448
2435;Duitsekampweg;424800,0
2436;Duivelseiland;688434,7391304348
2437;Duivendrecht;335409,0909090909
2438;Duivenkamp;260692,3076923077
2439;Duivenvoorde;285516,6666666667
2440;Duizel;358950,0
2441;Dullaert;263948,4375
2442;Duno;425000,0
2443;Durgerdam;781250,0
2444;Duttendel;765220,0
2445;Dwarsgracht;336500,0
2446;Dwingelo;315151,22222222225
2447;E buurt;350000,0
2448;Eagum;425000,0
2449;Earnewâld;176000,0
2450;Easterein;164806,25
2451;Easterlittens;152333,33333333334
2452;Eastermar;261000,0
2453;Easterwierrum;191500,0
2454;Echt Centrum;252230,0
2455;Echt Noord;255683,33333333334
2456;Echteld;261000,0
2457;Echten;269583,3333333333
2458;Echtenerbrug Buitengebied;294200,0
2459;Echtenerbrug Kom;278125,0
2460;Echterbosch;179000,0
2461;Eck en Wiel;323444,44444444444
2462;Eckart;212982,85714285713
2463;Eckelrade;365000,0
2464;Ecodus;472187,5
2465;Ecowijk;423600,0
2466;Edam Industriegebied;456250,0
2467;Edam Molenbuurt;322000,0
2468;Edam Oude kom;433946,4285714286
2469;Edam Singelwijk;288222,22222222225
2470;Edam Zuid;362222,22222222225
2471;Edelsteenbuurt;364468,75
2472;Edelstenenbuurt;212509,0909090909
2473;Edelstenenwijk;239107,14285714287
2474;Ederveen buitengebied;448250,0
2475;Ederveen dorp;359416,6666666667
2476;Ee;178875,0
2477;Eede;186000,0
2478;Eefde;332700,0
2479;Eekmaat;157019,23076923078
2480;Eekmaat West;244551,02040816325
2481;Eelde;299634,0206185567
2482;Eelderwolde;526437,5
2483;Eem  en Zonnestein;321427,2727272727
2484;Eemdal Noord;325260,0
2485;Eemdal Zuid;314380,95238095237
2486;Eemdijk;573166,6666666666
2487;Eemnes Dorp;429850,0
2488;Eemplein;219500,0
2489;Eempolder;1250000,0
2490;Eemster;614000,0
2491;Een;226583,33333333334
2492;Eendrachtspark;300000,0
2493;Eeneind;403400,0
2494;Eenigenburg;885000,0
2495;Eenrum;207038,46153846153
2496;Eenum;227000,0
2497;Eerbeek Zuid;292083,3333333333
2498;Eerbeek centrum;355357,14285714284
2499;Eerbeekse Enk;219206,89655172414
2500;Eerde;401954,54545454547
2501;Eerschot;302689,6551724138
2502;Eersel Zuid;265460,0
2503;Eersel kom en Lindeakkers;395034,4827586207
2504;Eerselsedijk Woonbos e.o.;653250,0
2505;Eerste Exloërmond;243000,0
2506;Eerste Kruisdiep;173312,5
2507;Eerste woonwijk;253288,88888888888
2508;Eertman;366500,0
2509;Ees;336250,0
2510;Eesergroen;490750,0
2511;Eeserwold;550000,0
2512;Eesveen;253750,0
2513;Eethen;334142,85714285716
2514;Eeuwsels;196807,6923076923
2515;Eext;325204,54545454547
2516;Eexta;200888,88888888888
2517;Eexta Zuid;297166,6666666667
2518;Eexterveen;304500,0
2519;Eexterveenschekanaal;194500,0
2520;Eexterzandvoort;449000,0
2521;Effen Rith;602153,8461538461
2522;Egchel;327000,0
2523;Egede  Elen en Rhaan;404250,0
2524;Egel  en Salamanderveen;228550,0
2525;Egelantierstraat  Mariëndaalstraat e.o.;255481,4814814815
2526;Egmond Binnen;299423,07692307694
2527;Egmond aan Zee;375791,6666666667
2528;Egmond aan den Hoef;392750,0
2529;Egstraat en omgeving;156739,13043478262
2530;Eibergen Centrum en  Oost;266971,2037037037
2531;Eibergen West;211814,8148148148
2532;Eijsden Breust;337077,77777777775
2533;Eikelenburg;608000,0
2534;Eikelhof;607375,0
2535;Eikenberg Hooge Berkt;429000,0
2536;Eikenbosch;335979,1666666667
2537;Eikenburg;517543,47826086957
2538;Eikenderveld;106742,85714285714
2539;Eikenheuvel;400111,1111111111
2540;Eikenhoek;368833,3333333333
2541;Eiland;639000,0
2542;Eiland Brandt;375000,0
2543;Eilandenbuurt;302204,4910179641
2544;Eilermarke;284034,1538461539
2545;Eimersweide;250527,39726027398
2546;Eindewege;289000,0
2547;Einighausen;195388,88888888888
2548;Eiske;174000,0
2549;Eiterse Waard;656000,0
2550;Ekamp;399000,0
2551;Ekehaar;318500,0
2552;Ekenrooi;378094,7368421053
2553;Elahuizen;303166,6666666667
2554;Elandsgrachtbuurt;639274,5098039216
2555;Elburg De Vrijheid;237913,04347826086
2556;Elburg Oosthoek;232433,33333333334
2557;Elburg Stad;274500,0
2558;Elburg West en havengebied;275846,1538461539
2559;Elden;332153,8461538461
2560;Elderhof;203326,08695652173
2561;Elderveld Noord;174625,0
2562;Elderveld Zuid;195531,25
2563;Electrobuurt;411383,9285714286
2564;Elferink Heuwkamp;160750,0
2565;Eliasterrein  Vonderkwartier;383434,7826086957
2566;Elim Kern;245250,0
2567;Elinkwijk en omgeving;252759,61538461538
2568;Elizabethhof;499750,0
2569;Elkenrade;100000,0
2570;Elkshove;762500,0
2571;Ellecom;391200,0
2572;Ellemeet;217000,0
2573;Ellertsveld;334769,23076923075
2574;Ellewoutsdijk (Kern);178900,0
2575;Elly Takmastraat;323846,1538461539
2576;Elp;346416,6666666667
2577;Els (oost);342593,5483870968
2578;Els (west);224750,0
2579;Elsbeek;213551,72413793104
2580;Elsbroekerpolder;375000,0
2581;Elsendorp;293500,0
2582;Elshof;438000,0
2583;Elshout;334380,95238095237
2584;Elskamp;227132,35294117648
2585;Elsland;185550,0
2586;Elsloo;241444,44444444444
2587;Elspeet;354368,4210526316
2588;Elsrijk Oost;514639,34426229505
2589;Elsrijk West;763853,6585365854
2590;Elst Centrum;298176,78571428574
2591;Elst Noordoost;340180,69306930696
2592;Elst Noordwest;308494,7368421053
2593;Elst West;576966,6666666666
2594;Elst Zuidoost;417032,2580645161
2595;Elst Zuidwest;267996,9696969697
2596;Elsweide;292750,0
2597;Elzenbos;376000,0
2598;Elzenhagen Noord;490208,1818181818
2599;Elzenpas;305574,0740740741
2600;Elzent Noord;388607,14285714284
2601;Elzent Zuid;2563333,3333333335
2602;Emanuel van Meterenbuurt;470422,22222222225
2603;Eme en Broek;266071,4285714286
2604;Emerald Centrum;325074,0740740741
2605;Emerald Noord;367642,85714285716
2606;Emerald Zuid;390611,1111111111
2607;Emiclaer;221200,0
2608;Emma;275956,1176470588
2609;Emmaberg;299000,0
2610;Emmakwartier;390075,0
2611;Emmalaan;268798,0
2612;Emmastraat en omgeving;222111,11111111112
2613;Emmeloord Bedrijventerrein Nagelerweg;835000,0
2614;Emmeloord Centrum Bos en Gaard;318750,0
2615;Emmeloord Centrum Centrum Oost;216975,0
2616;Emmeloord Centrum Centrum West;213138,88888888888
2617;Emmeloord Centrum Tussen Gracht en Vaart;155256,81818181818
2618;Emmeloord Emmelhage Boswonen;315166,6666666667
2619;Emmeloord Espelervaart Bergenbuurt;196250,0
2620;Emmeloord Espelervaart Espelervaart West;204325,0
2621;Emmeloord Espelervaart Rivierenbuurt;187340,0
2622;Emmeloord Revelsant Noord;192441,17647058822
2623;Emmeloord Revelsant Zuid;184066,66666666666
2624;Emmeloord Waterland;314000,0
2625;Emmeloord de Erven;279722,641509434
2626;Emmeloord de Zuidert;202590,625
2627;Emmeloord landelijk gebied;311821,4285714286
2628;Emmen Centrum;257839,36170212767
2629;Emmen omgeving Oude Roswinkelerweg;281764,70588235295
2630;Emmen over 't spoor;307964,28571428574
2631;Emmer Compascuum Centrum;181629,34782608695
2632;Emmer Erfscheidenveen;225547,5
2633;Emmerhout;173335,41772151898
2634;Emmermeer;184448,3606557377
2635;Emmerschans;186250,0
2636;Emminkhuizerberg;494678,5714285714
2637;Empe Kern;405750,0
2638;Empel Oost;382593,75
2639;Empeldonk;262000,0
2640;Emst;325605,2631578947
2641;Engelbert;321036,36363636365
2642;Engelenburg;224746,875
2643;Engelsbergen;448625,0
2644;Engwierum;174666,66666666666
2645;Enka;329779,25925925927
2646;Enkhuizen Noord;181666,66666666666
2647;Ens landelijk gebied;213000,0
2648;Ens woonkern;213117,24137931035
2649;Enschot Midden;363000,0
2650;Enschot Oost;396208,3333333333
2651;Enschot Zuid;895000,0
2652;Enschotse Akkers;447125,0
2653;Enspijk;547250,0
2654;Enter Noordwest;249363,63636363635
2655;Enter Oost;379437,5
2656;Enter Zuidwest;276500,0
2657;Entrepot Noordwest;424958,3333333333
2658;Epe Centrum;410854,1666666667
2659;Epe Noord;565413,0434782609
2660;Epe Oost;430200,0
2661;Epe Zuid;288185,71428571426
2662;Epen;239375,0
2663;Epse;409263,15789473685
2664;Erasmus Veld;510000,0
2665;Erasmusbuurt;260750,0
2666;Erasmuslaan en omgeving;254611,11111111112
2667;Erasmusparkbuurt Oost;467181,8181818182
2668;Erasmusparkbuurt West;345117,1171171171
2669;Erasmusstraat;264971,72222222225
2670;Erenstein;255083,33333333334
2671;Erfgoedkwartier;247500,0
2672;Erfgooiersbuurt;377650,0
2673;Erflanden;280380,95238095237
2674;Erica Centrum;215784,0909090909
2675;Ericapark;192916,66666666666
2676;Ericasestraat;325000,0
2677;Erichem;449857,14285714284
2678;Erlecom;345000,0
2679;Erm;293000,0
2680;Ermelo;318874,0174672489
2681;Ermelo Oost;447718,75
2682;Ermelo West;309343,75
2683;Ermerveen;389000,0
2684;Erp Centrum;348625,0
2685;Erpseweg Zuid;316562,5
2686;Ertveld;302136,36363636365
2687;Erven;432727,2727272727
2688;Ervenbuurt;190200,0
2689;Esbeek;375750,0
2690;Esch;326444,44444444444
2691;Escharen kom;234000,0
2692;Eschoter Veld;562500,0
2693;Espel landelijk gebied;277714,28571428574
2694;Espel woonkern;181022,72727272726
2695;Esse Hoog;415114,28571428574
2696;Esse Laag;418400,0
