;Buurtnaam;koopprijs
174;Agniesebuurt;288339,28571428574
175;Agobuurt;149785,7142857143
176;Agrarisch gebied Beekbergen;466166,6666666667
177;Agrarisch gebied Beemte Broekland;604333,3333333334
178;Agrarisch gebied Lieren Oosterhuizen;575000,0
179;Agrarisch gebied Uddel;849000,0
180;Agrarisch gebied Wenum;510800,0
181;Agrarisch gebied Wiesel;617800,0
182;Agterpoort;708750,0
183;Aijen Kern;308333,3333333333
184;Akersloot Oost;320433,3333333333
185;Akersloot West;362340,0
186;Akert;280789,4736842105
187;Akker/Haagwinde;212200,0
188;Akkerbuurt;383750,0
189;Akkerhoeve;290666,6666666667
190;Akkerland;337976,0
191;Akkers;350642,85714285716
192;Akkers Centrum;154683,33333333334
193;Akkrum;269670,27777777775
194;Akmarijp;895000,0
195;Alandsbeek Oost;312289,4736842105
196;Alandsbeek West;280125,0
197;Albano;292023,5294117647
198;Albatrosstraat;201807,6923076923
199;Albergen kern;254250,0
200;Albert Cuypstraat;364333,3333333333
201;Albert Schweitzerplaats;352068,75
202;Albert's Hoeve;342555,55555555556
203;Alde Leie;160000,0
204;Aldeboarn;201625,0
205;Aldenhof;197764,70588235295
206;Aldlân Oost;188253,77358490566
207;Aldlân West;184152,1739130435
208;Aldtsjerk;589000,0
209;Alem;282300,0
210;Aletta Jacobs erf en omgeving;245500,0
211;Alexanderplein e.o.;692583,3333333334
212;Alkenoord;179718,75
213;Almen;425000,0
214;Almkerk;280029,4117647059
215;Alpen Rondwegbuurt;425000,0
216;Alphen;343062,5
217;Altena;390138,8888888889
218;Alteveer;198235,29411764705
219;Alteveer Buitengebied;265666,6666666667
220;Alteveer/Cranevelt;336006,8181818182
221;Altrade;380247,4747474748
222;Altweerterheide;315000,0
223;Altweerterheide buitengebied;723000,0
224;Alverna;276666,6666666667
225;Amaliapark;297071,4285714286
226;Amaniet;461487,5
227;Amazone en omgeving;278922,7272727273
228;Ambachtenbuurt;231552,63157894736
229;Ambachtenbuurt Oost;226236,84210526315
230;Ambachtenbuurt West;207184,2105263158
231;Ambachtszone;461333,3333333333
232;Ambonwijk;359000,0
233;Amby;333931,78571428574
234;Ameide Kern;269055,55555555556
235;Ameide Polder;262861,1111111111
236;Amelterhout;270214,28571428574
237;Amen;499000,0
238;America;263700,0
239;Amerika;365062,5
240;Amerikaansebuurt;246750,0
241;Amerongen;372377,04918032786
242;Amerstraat en omgeving;150250,0
243;Amert en Binnenveld;189000,0
244;Ammerstol;313662,962962963
245;Ammerzoden;323875,0
