;global_id;postcode;Gemeentenaam;Buurtnaam;Afstand_tot_huisartsenpraktijk_km
481;4060891;2624KM;Delft                                   ;Roland Holstbuurt;3
486;4062670;2102ZB;Heemstede                               ;Schouwbroekerpolder;4
489;4064165;2593EE;s Gravenhage                           ;Bezuidenhout Oost;4
493;4064616;1562ZV;Zaanstad                                ;Zuiderham;4
495;4064074;2905AX;Capelle aan den IJssel                  ;De Baronie;3
499;4058559;2152CL;Haarlemmermeer                          ;Nieuw Vennep Welgelegen;4
504;4059391;2902BK;Capelle aan den IJssel                  ;Rozenburcht;2
505;4059912;2593GA;s Gravenhage                           ;Bezuidenhout Oost;4
510;4066165;3038GE;Rotterdam                               ;Bergpolder;4
511;4066190;3026TH;Rotterdam                               ;Tussendijken;3
534;4063264;2565XL;s Gravenhage                           ;Bomenbuurt;4
556;4052020;2182TK;Hillegom                                ;Olympiakwartier;4
567;4066965;3082VM;Rotterdam                               ;Oud Charlois;4
571;4059383;1015JJ;Amsterdam                               ;Driehoekbuurt;2
572;4070822;3072LJ;Rotterdam                               ;Katendrecht;4
573;4070841;2523BP;s Gravenhage                           ;Laakkwartier Oost;4
575;4071133;4381VJ;Vlissingen                              ;Scheldestraat e.o.;4
579;4060179;7009AA;Doetinchem                              ;Het Loo;3
586;4070591;2523GG;s Gravenhage                           ;Laakkwartier West;3
587;4060663;3328DR;Dordrecht                               ;Vredenburg en omgeving;4
588;4060225;3641CM;De Ronde Venen                          ;Proostdijland;3
595;4072158;1015CJ;Amsterdam                               ;Leliegracht e.o.;2
604;4073083;1215CH;Hilversum                               ;Schrijverskwartier;4
606;4073214;6731BS;Ede                                     ;Otterlo dorp;4
613;4073257;4373CA;Veere                                   ;Biggekerke;4
614;4094286;3888KP;Apeldoorn                               ;Uddel;4
620;4060521;4812BG;Breda                                   ;Heuvel;4
628;4074730;3083TC;Rotterdam                               ;Carnisse;3
632;4072749;2582KP;s Gravenhage                           ;Statenkwartier;4
633;4072772;1403JV;Gooise Meren                            ;Ooster Eng Zuid;4
635;4075211;1781SV;Den Helder                              ;Visbuurt;4
646;4062738;3201KR;Nissewaard                              ;Vierambachten;2
680;4065686;1972AL;Velsen                                  ;Zeeheldenbuurt;3
690;4075860;2394EK;Alphen aan den Rijn                     ;Zonneveld;4
691;4058491;4524BC;Sluis                                   ;Sluis;4
697;4079999;1363BB;Almere                                  ;Europakwartier;4
699;4059282;6221GJ;Maastricht                              ;Wyck;4
700;4076594;1614SJ;Stede Broec                             ;Lutjebroek;4
702;4076666;3818WC;Amersfoort                              ;Huygenslaan;4
707;4076846;6866CM;Renkum                                  ;Aan de Beek;3
712;4077140;3608AC;Stichtse Vecht                          ;Boomstede;4
718;4068729;2805PR;Gouda                                   ;Ouwe Gouwe;4
724;4061022;3034AR;Rotterdam                               ;Oud Crooswijk;4
726;4078327;8256CJ;Dronten                                 ;Oud Biddinghuizen;4
728;4078221;8022DL;Zwolle                                  ;Hogenkamp;4
738;4078692;7011ED;Doetinchem                              ;Vulcaansoord en het Richtersbos Zuid;4
742;4078502;1943GX;Beverwijk                               ;Plantage;3
751;4061956;2521RH;s Gravenhage                           ;Laakhaven Oost;4
762;4080109;2295RH;Westland                                ;Kwintsheul Centrumgebied;4
767;4084168;3202VM;Nissewaard                              ;Schiekamp Zuid;3
773;4079439;5708ZA;Helmond                                 ;De Veste;4
776;4080961;7315ED;Apeldoorn                               ;Kerschoten;4
778;4072350;3171EE;Albrandswaard                           ;Poortugaal Centrum;3
786;4086145;3831NM;Leusden                                 ;Hamershof;4
798;4073181;1774BM;Hollands Kroon                          ;Slootdorp;4
803;4064058;2905AX;Capelle aan den IJssel                  ;De Baronie;3
804;4073655;5473RT;Bernheze                                ;Heilaren;4
807;4065180;1053AA;Amsterdam                               ;Da Costabuurt Noord;2
815;4074318;3515XX;Utrecht                                 ;Tuinwijk West;3
819;4087620;3562AJ;Utrecht                                 ;Neckardreef en omgeving;4
820;4087664;2408RC;Alphen aan den Rijn                     ;Polderpeil Oost;3
826;4082742;1013GM;Amsterdam                               ;Haarlemmerbuurt West;2
830;4066826;2011HX;Haarlem                                 ;Binnenstad;2
834;4066983;2593CB;s Gravenhage                           ;Bezuidenhout Oost;4
846;4075132;1621AR;Hoorn                                   ;Binnenstad   Buurt 10 01;3
848;4066363;7604GB;Almelo                                  ;Aalderinkshoek Zuidoost;3
853;4089446;4811ST;Breda                                   ;Schorsmolen;4
857;4068213;6821DE;Arnhem                                  ;Graaf Ottoplein e.o.;4
858;4089508;4381VJ;Vlissingen                              ;Scheldestraat e.o.;4
862;4068378;3021CA;Rotterdam                               ;Middelland;3
864;4089503;2102ZR;Heemstede                               ;Schouwbroekerpolder;4
866;4084500;1941JC;Beverwijk                               ;Meerplein;3
870;4075931;5345XA;Oss                                     ;Amsteleind;4
873;4068569;2584XZ;s Gravenhage                           ;Visserijbuurt;3
875;4083455;3341VC;Hendrik Ido Ambacht                     ;Oostendam;4
879;4068798;1015SB;Amsterdam                               ;Anjeliersbuurt Zuid;3
881;4089758;1062GR;Amsterdam                               ;Delflandpleinbuurt West;2
887;4090151;2555CG;s Gravenhage                           ;Componistenbuurt;3
888;4085058;6824DS;Arnhem                                  ;Velperweg Noord;3
893;4069540;1813CX;Alkmaar                                 ;Oosterhout;4
911;4090239;3581LR;Utrecht                                 ;Oudwijk;3
914;4076698;6433AX;Heerlen                                 ;Nieuw Lotbroek Noord;4
918;4077813;4873BD;Etten Leur                              ;Banakkers 2;4
920;4087102;1315LA;Almere                                  ;Centrum Almere Stad;4
921;4091824;4543CD;Terneuzen                               ;Kern Zaamslag;4
923;4092567;1071HC;Amsterdam                               ;Cornelis Schuytbuurt;3
925;4092640;1074HX;Amsterdam                               ;Willibrordusbuurt;4
932;4078398;2571CG;s Gravenhage                           ;Rustenburg;4
933;4072283;9711BM;Groningen                               ;Binnenstad Zuid;3
940;4088131;3817ZL;Amersfoort                              ;Bosweg;3
944;4096646;9166LB;Schiermonnikoog                         ;Schiermonnikoog;4
949;4094466;1774BM;Hollands Kroon                          ;Slootdorp;4
954;4078773;2295RE;Westland                                ;Kwintsheul Centrumgebied;4
961;4073188;5708XK;Helmond                                 ;De Veste;4
