;global_id;postcode;Gemeentenaam;Buurtnaam;Afstand_tot_huisartsenpraktijk_km
31685;4361023;1016EG;Amsterdam                               ;Felix Meritisbuurt;2
31686;4360924;5301AE;Zaltbommel                              ;Zaltbommel Binnenstad;3
31696;4063286;5554PW;Valkenswaard                            ;Centrum;4
31697;4227387;1051VM;Amsterdam                               ;Westerstaatsman;3
31708;4060441;4702EM;Roosendaal                              ;Sint Josephbuurt;4
31709;4060446;3901DH;Veenendaal                              ;Koopcentrum;3
31713;4227845;3533VL;Utrecht                                 ;Oog in Al;4
31719;4361451;1363DE;Almere                                  ;Europakwartier;4
31722;4065441;3554TG;Utrecht                                 ;Schaakbuurt en omgeving;4
31729;4061132;3826EC;Amersfoort                              ;Hogesteeg;2
31730;4061149;3826EC;Amersfoort                              ;Hogesteeg;2
31735;4065989;1271PE;Huizen                                  ;De Zuid;4
31746;4228921;1211LV;Hilversum                               ;Centrum;4
31747;4229295;5213CM;s Hertogenbosch                        ;Graafsebuurt Zuid;3
31755;4361874;5623PR;Eindhoven                               ;Oude Toren;4
31758;4361942;2901JE;Capelle aan den IJssel                  ;Paganinibuurt;4
31759;4362022;3267AB;Korendijk                               ;Goudswaard;4
31763;4230159;2806BG;Gouda                                   ;Kort Haarlem;3
31765;4137746;1013GW;Amsterdam                               ;Haarlemmerbuurt Oost;2
31766;4067364;5235LD;s Hertogenbosch                        ;De Staatsliedenbuurt;4
31772;4230481;2026TC;Haarlem                                 ;Roemer Visscherbuurt;3
31774;4362127;3311VJ;Dordrecht                               ;Boogjes en omgeving;4
31777;4362138;3551TN;Utrecht                                 ;Egelantierstraat  Mariëndaalstraat e.o.;2
31780;4362142;6211NL;Maastricht                              ;Kommelkwartier;4
31781;4064408;2023RG;Haarlem                                 ;Schoterveenpolder;4
31782;4230963;6901JR;Zevenaar                                ;Schrijvershoek;4
31789;4068650;1445BH;Purmerend                               ;Overlanderstraat en omgeving;4
31790;4068655;3082ZB;Rotterdam                               ;Oud Charlois;4
31793;4064851;2324KK;Leiden                                  ;Fortuinwijk Noord;4
31798;4069108;6411HM;Heerlen                                 ;Heerlen Centrum;4
31800;4065769;4207MK;Gorinchem                               ;Laag Dalem I;4
31815;4232052;2564EG;s Gravenhage                           ;Vruchtenbuurt;4
31820;4067012;3826EC;Amersfoort                              ;Hogesteeg;2
31821;4067067;4835CB;Breda                                   ;Ginneken;4
31824;4070003;2282HJ;Rijswijk                                ;Rembrandtkwartier;4
31825;4232776;3511RK;Utrecht                                 ;Wijk C;3
31827;4362611;7423CN;Deventer                                ;Groot Douwel;4
31831;4362646;1689RB;Hoorn                                   ;Risdam Noord   Buurt 21 03;4
31832;4233218;3553BG;Utrecht                                 ;Elinkwijk en omgeving;4
31833;4067306;1072AM;Amsterdam                               ;Frans Halsbuurt;2
31838;4233264;2071CE;Velsen                                  ;Kerkerinkbuurt;3
31841;4066322;2593TZ;s Gravenhage                           ;Bezuidenhout Oost;4
31843;4233420;3117ML;Schiedam                                ;Frankenland;4
31851;4068913;3571XL;Utrecht                                 ;Tuindorp Oost;4
31854;4068616;2641JB;Pijnacker Nootdorp                      ;Pijnacker Centrum/Dorp;4
31863;4068960;1091AH;Amsterdam                               ;Oosterparkbuurt Noordwest;2
31864;4069488;7206DA;Zutphen                                 ;Zwanevlot en De Brink;2
31874;4234768;6418HZ;Heerlen                                 ;Heerlerbaan Oost;4
31877;4072192;7314AC;Apeldoorn                               ;Spainkbos;4
31885;4070424;7442WK;Hellendoorn                             ;De Blokken;4
31893;4071582;2291AA;Westland                                ;Plan Zuid;4
31894;4071643;2597AV;s Gravenhage                           ;Waalsdorp;4
31910;4072531;8435XA;Ooststellingwerf                        ;Donkerbroek;4
31911;4072121;2023VD;Haarlem                                 ;Kweektuinbuurt;4
31917;4073713;1013VZ;Amsterdam                               ;Spaarndammerbuurt Zuidwest;2
31926;4074313;1901SN;Castricum                               ;Oranjebuurt;4
31939;4237306;7425RB;Deventer                                ;Spikvoorde;4
31941;4237504;8916AX;Leeuwarden                              ;Vogelwijk;4
31942;4075116;2678EX;Westland                                ;Zeehelden van Oranje;3
31954;4076058;2805HD;Gouda                                   ;Ouwe Gouwe;4
31956;4076731;3171BE;Albrandswaard                           ;Poortugaal Centrum;3
31957;4237978;1068VM;Amsterdam                               ;Meer en Oever;4
31959;4075770;2343GK;Oegstgeest                              ;Bloemenbuurt;4
31965;4076484;3781HW;Barneveld                               ;Componistenwijk;4
31968;4076741;2678GK;Westland                                ;Zeehelden van Oranje;3
31974;4078183;3511MC;Utrecht                                 ;Hooch Boulandt;2
31978;4076961;3882AT;Putten                                  ;Putten Centrum;4
31987;4078044;4761ER;Moerdijk                                ;Centrum;4
31989;4078080;4902BT;Oosterhout                              ;Slotjes West;4
31992;4243164;5575BK;Bergeijk                                ;Tiliaans Weegbree e.o.;2
31994;4243607;4515GA;Sluis                                   ;IJzendijke;4
32001;4081797;1074VJ;Amsterdam                               ;Willibrordusbuurt;4
32004;4244967;2991EG;Barendrecht                             ;Centrum Oost;4
32010;4078819;3028EP;Rotterdam                               ;Oud Mathenesse;4
32014;4246692;8261XD;Kampen                                  ;Binnenstad Kampen;4
32029;4248118;9715BD;Groningen                               ;Indische buurt;4
32031;4079564;3571LV;Utrecht                                 ;Tuindorp Oost;4
32040;4251450;6641ZB;Beuningen                               ;Beuningen Duivenkamp;4
32042;4081033;6512BD;Nijmegen                                ;Bottendaal;4
32044;4129138;4161CS;Lingewaal                               ;Heukelum Oude Kern;2
32049;4254230;2641EE;Pijnacker Nootdorp                      ;Pijnacker Centrum/Dorp;4
32051;4254332;3945BT;Wijk bij Duurstede                      ;Cothen;4
32057;4254312;7207HL;Zutphen                                 ;De Enk;4
32060;4081699;3202AL;Nissewaard                              ;Schiekamp Zuid;3
32071;4256995;2313KD;Leiden                                  ;Burgemeesterswijk;2
32073;4082460;2574TC;s Gravenhage                           ;Rustenburg;4
32079;4082983;2313SK;Leiden                                  ;Professorenwijk West;4
32082;4082632;1271BG;Huizen                                  ;De Zuid;4
32083;4098796;5021EM;Tilburg                                 ;Broekhoven II Oost;3
32087;4082670;1404BJ;Gooise Meren                            ;Prins Hendrikkwartier;2
32095;4090995;2317SV;Leiden                                  ;Merenwijk Centrum;4
32107;4084280;6602GX;Wijchen                                 ;Centrum;3
32108;4084290;6602GX;Wijchen                                 ;Centrum;3
32116;4085328;3842ZZ;Harderwijk                              ;Stadsdennen Midden;4
32121;4085174;3332GD;Zwijndrecht                             ;Europesebuurt;4
32125;4085946;6374GW;Landgraaf                               ;Lauradorp;4
32135;4086241;2517VH;s Gravenhage                           ;Sweelinckplein en omgeving;3
32141;4095817;2394VJ;Alphen aan den Rijn                     ;Zonneveld;4
32142;4096092;2582ES;s Gravenhage                           ;Statenkwartier;4
32144;4265917;2586TH;s Gravenhage                           ;Scheveningen Badplaats;3
32150;4087685;1435HN;Haarlemmermeer                          ;Rijsenhout Zuid;4
32155;4097332;2514AH;s Gravenhage                           ;Archipelbuurt;3
32159;4088371;1081GG;Amsterdam                               ;Buitenveldert Zuidwest;4
32160;4088530;3132BG;Vlaardingen                             ;Zuidbuurt;4
32165;4088841;1094NB;Amsterdam                               ;Zuidwestkwadrant Indische buurt;2
32170;4089305;1018BH;Amsterdam                               ;Kadijken;3
32173;4101100;7314AC;Apeldoorn                               ;Spainkbos;4
32177;4099725;1081JM;Amsterdam                               ;Buitenveldert Zuidwest;4
32189;4103218;2597AV;s Gravenhage                           ;Waalsdorp;4
32192;4089597;1053DH;Amsterdam                               ;Da Costabuurt Zuid;2
32197;4272205;2034BB;Haarlem                                 ;Landenbuurt;4
32198;4090698;7731DH;Ommen                                   ;Kern Ommen   Laarakkers;3
32199;4104300;3231BJ;Brielle                                 ;Brielle;4
32212;4274586;3031ED;Rotterdam                               ;Rubroek;4
32220;4060140;6044VZ;Roermond                                ;Componistenbuurt;3
32221;4105617;6216CT;Maastricht                              ;Brusselsepoort;4
32223;4275393;1061VX;Amsterdam                               ;Overtoomse Veld Noord;4
32224;4276211;3845DM;Harderwijk                              ;Drielanden Centrum;4
32227;4276336;3581KE;Utrecht                                 ;Oudwijk;3
32235;4276837;3131HT;Vlaardingen                             ;Centrum;3
32237;4061127;3826EC;Amersfoort                              ;Hogesteeg;2
32242;4061895;3207CH;Nissewaard                              ;Schenkel Zuidwest;4
32252;4061795;5237PT;s Hertogenbosch                        ;Maasvallei;4
32275;4280153;3039DP;Rotterdam                               ;Blijdorp;3
32280;4121744;4827HA;Breda                                   ;Geeren Zuid;4
32289;4069595;6961CR;Brummen                                 ;Noorder Enk;4
32298;4071173;3235AL;Westvoorne                              ;Rockanje;4
32311;4073750;1092XR;Amsterdam                               ;Transvaalbuurt Oost;4
32320;4126236;3171BJ;Albrandswaard                           ;Poortugaal Centrum;3
32334;4076682;4331KT;Middelburg                              ;Binnenstad;3
32335;4097758;3523KE;Utrecht                                 ;Nieuw Hoograven Noord;2
32341;4305255;1211JE;Hilversum                               ;Havenstraatbuurt;3
32343;4127305;3341BK;Hendrik Ido Ambacht                     ;Oostendam;4
32344;4098568;8261XD;Kampen                                  ;Binnenstad Kampen;4
32347;4305666;4503AB;Sluis                                   ;Groede;4
32354;4064371;8261KH;Kampen                                  ;Binnenstad Kampen;4
32364;4130254;1403BB;Gooise Meren                            ;Ooster Eng Noord;4
32365;4081868;2561SH;s Gravenhage                           ;Valkenboskwartier;3
32366;4359124;1403VW;Gooise Meren                            ;Midden Eng Oost;3
32368;4081920;1223HR;Hilversum                               ;Liebergen;4
32377;4101369;3511GM;Utrecht                                 ;Hooch Boulandt;2
32378;4130949;1017AN;Amsterdam                               ;Utrechtsebuurt Zuid;3
32380;4360004;1071XE;Amsterdam                               ;Johannnes Vermeerbuurt;3
32386;4132225;2266NK;Leidschendam Voorburg                   ;Leidschendam Zuid;4
32388;4132439;2574SG;s Gravenhage                           ;Rustenburg;4
32389;4101457;3531KT;Utrecht                                 ;Laan van Nieuw Guinea  Spinozaweg e.o.;4
32404;4102713;5654GH;Eindhoven                               ;Bennekel Oost;4
32410;4362597;8011BB;Zwolle                                  ;Kamperpoort;3
32417;4103488;5361MN;Grave                                   ;De Stoof;4
32425;4135770;2526PB;s Gravenhage                           ;Schildersbuurt Noord;2
32460;4106618;1445PE;Purmerend                               ;Overlanderstraat en omgeving;4
32466;4107159;8121BR;Olst Wijhe                              ;Olst Centrum Oost;4
32470;4107169;5037MK;Tilburg                                 ;Burgemeestersbuurt;3
32471;4094606;9671BH;Oldambt                                 ;Winschoten Centrum;4
32472;4364178;6914AR;Zevenaar                                ;Herwen;3
32476;4117534;1017WD;Amsterdam                               ;Utrechtsebuurt Zuid;3
32483;4118038;2295LP;Westland                                ;Kwintsheul Centrumgebied;4
32493;4118659;1051EX;Amsterdam                               ;Fannius Scholtenbuurt;2
32494;4118731;3845DM;Harderwijk                              ;Drielanden Centrum;4
32501;4119171;1185RZ;Amstelveen                              ;Populierenbuurt;4
32505;4140277;1056SL;Amsterdam                               ;Jan Maijenbuurt;3
32506;4119389;1701GC;Heerhugowaard                           ;Centrumwaard;4
32507;4119834;6004AE;Weert                                   ;Groenewoud Zuid;3
32515;4099317;3524LR;Utrecht                                 ;Lunetten Noord;4
32521;4142333;2805SZ;Gouda                                   ;Ouwe Gouwe;4
32522;4121020;2573PW;s Gravenhage                           ;Oostbroek Noord;2
32529;4121324;2681SP;Westland                                ;Monster Centrumgebied;4
32534;4142445;7315HW;Apeldoorn                               ;Het Loo;4
32535;4121328;1058LK;Amsterdam                               ;Westlandgrachtbuurt;3
32554;4103579;1182EH;Amstelveen                              ;Patrimonium;4
32558;4147617;1338HX;Almere                                  ;Faunabuurt;4
32565;4103822;6512GR;Nijmegen                                ;Bottendaal;4
32571;4364993;3072ZD;Rotterdam                               ;Katendrecht;4
32577;4105657;3524LR;Utrecht                                 ;Lunetten Noord;4
32579;4125372;1701GC;Heerhugowaard                           ;Centrumwaard;4
32582;4365095;6836LG;Arnhem                                  ;Rijkerswoerd Midden;4
32585;4125762;2514AH;s Gravenhage                           ;Archipelbuurt;3
32595;4148041;2121TB;Bloemendaal                             ;Leidsevaart  Bloemhof;3
32606;4148695;7557BP;Hengelo                                 ;Elsbeek;4
32607;4148830;1274GN;Huizen                                  ;Bovenmaat Noord;3
32608;4148847;8121ZK;Olst Wijhe                              ;Olst Centrum Oost;4
32611;4127907;1211NJ;Hilversum                               ;Centrum;4
32612;4120394;6821GT;Arnhem                                  ;Graaf Ottoplein e.o.;4
32617;4120588;7101EA;Winterswijk                             ;Centrale deel;3
32625;4129609;2408MC;Alphen aan den Rijn                     ;Evenaar West;2
32627;4124044;3262ET;Oud Beijerland                          ;Zeeheldenwijk;4
32636;4151314;2025AK;Haarlem                                 ;Nachtegaalbuurt;3
32645;4131803;2625RV;Delft                                   ;Fledderusbuurt;3
32653;4133229;5912BN;Venlo                                   ;Hagerhof oost;4
32657;4133308;1071SL;Amsterdam                               ;Banpleinbuurt;3
32662;4133958;1051ER;Amsterdam                               ;Westerstaatsman;3
32669;4133991;6217KC;Maastricht                              ;Brusselsepoort;4
32672;4125964;3203BE;Nissewaard                              ;Groenewoud Hoog;4
32675;4125595;8226KE;Lelystad                                ;Wijkcentrum  Voorstraat;3
32685;4155615;1056BK;Amsterdam                               ;Trompbuurt;3
32707;4138787;4458CZ;Goes                                    ;s Heer Arendskerke;4
32709;4138953;1079CM;Amsterdam                               ;Rijnbuurt West;3
32718;4131167;9715GA;Groningen                               ;Indische buurt;4
32723;4177241;7482ED;Haaksbergen                             ;Zienesch;3
32726;4169105;7335BK;Apeldoorn                               ;De Heeze;4
32730;4169141;2282TA;Rijswijk                                ;Rembrandtkwartier;4
32733;4132947;2023VJ;Haarlem                                 ;Kweektuinbuurt;4
32736;4170092;3523GL;Utrecht                                 ;Tolsteeg en Rotsoord;4
32737;4133354;2524KD;s Gravenhage                           ;Spoorwijk;3
32746;4134756;2523XE;s Gravenhage                           ;Laakkwartier West;3
32749;4144499;1012JV;Amsterdam                               ;Oude Kerk e.o.;3
32752;4135028;2548TT;s Gravenhage                           ;Lage Veld;4
32754;4171961;2641GH;Pijnacker Nootdorp                      ;Pijnacker Centrum/Dorp;4
32772;4145440;6521AD;Nijmegen                                ;Altrade;4
32788;4173990;2132HW;Haarlemmermeer                          ;Hoofddorp Zuid;4
32796;4137096;2273EJ;Leidschendam Voorburg                   ;Bovenveen;4
32798;4137272;7552BR;Hengelo                                 ;Veldwijk Noord;4
32801;4175215;1078VK;Amsterdam                               ;Scheldebuurt West;2
32808;4147297;3572TJ;Utrecht                                 ;Wittevrouwen;4
32809;4175814;1021TR;Amsterdam                               ;Vogelbuurt Zuid;4
32828;4081328;5171ES;Loon op Zand                            ;Staatsliedenbuurt;4
32830;4149105;7241BA;Lochem                                  ;Vesting;3
32832;4177148;3531HB;Utrecht                                 ;Lombok West;3
32838;4140720;1066SE;Amsterdam                               ;Belgiëplein e.o.;2
32861;4097235;8539RW;De Fryske Marren                        ;Echtenerbrug Kom;3
32867;4098419;3131CC;Vlaardingen                             ;Centrum;3
32868;4143434;5052TN;Goirle                                  ;Vennen;3
32872;4180982;2182LT;Hillegom                                ;Schilderskwartier;4
32876;4152529;7731DH;Ommen                                   ;Kern Ommen   Laarakkers;3
32880;4152894;6836LG;Arnhem                                  ;Rijkerswoerd Midden;4
32896;4106589;5611KS;Eindhoven                               ;Bergen;4
32899;4143903;1077NM;Amsterdam                               ;Minervabuurt Midden;3
32903;4107002;7552JP;Hengelo                                 ;Groot Driene Noord;4
32911;4120980;9602WJ;Midden Groningen                        ;Woldwijck Midden;4
32916;4183747;3235AP;Westvoorne                              ;Rockanje;4
32917;4166925;6041LV;Roermond                                ;Roerzicht;3
32918;4166912;2517VK;s Gravenhage                           ;Stadhoudersplantsoen;4
32920;4183593;3571NK;Utrecht                                 ;Tuindorp Oost;4
32921;4146005;3843AP;Harderwijk                              ;"""Bedrijventerrein """"De Sypel""""""";1
32927;4146615;7462TE;Rijssen Holten                          ;Kern rand Zuid;4
32933;4146865;1947HL;Beverwijk                               ;Oranjebuurt;3
32937;4168336;9601KT;Midden Groningen                        ;Stadshart Noord;3
32939;4184869;2311XM;Leiden                                  ;Vreewijk;3
32940;4147132;3607HT;Stichtse Vecht                          ;Reigerskamp;3
32942;4184783;2555CH;s Gravenhage                           ;Componistenbuurt;3
32956;4186053;5021CN;Tilburg                                 ;Broekhoven I;4
32959;4147345;1061BT;Amsterdam                               ;Kolenkitbuurt Zuid;3
32985;4136400;7462VM;Rijssen Holten                          ;Kern rand Zuid;4
32989;4086493;3523KE;Utrecht                                 ;Nieuw Hoograven Noord;2
32993;4172042;3034ZM;Rotterdam                               ;Oud Crooswijk;4
32995;4149013;3028TK;Rotterdam                               ;Oud Mathenesse;4
33002;4149230;3131VH;Vlaardingen                             ;Centrum;3
33007;4139698;1016HM;Amsterdam                               ;Felix Meritisbuurt;2
33010;4172465;2121BB;Bloemendaal                             ;Leidsevaart  Bloemhof;3
33018;4141585;8261HL;Kampen                                  ;Binnenstad Kampen;4
33022;4149980;2563GA;s Gravenhage                           ;Heesterbuurt;2
33023;4190620;1012JV;Amsterdam                               ;Oude Kerk e.o.;3
33033;4143741;5611KS;Eindhoven                               ;Bergen;4
33040;4143361;2586AC;s Gravenhage                           ;Scheveningen Badplaats;3
33049;4151195;2586TT;s Gravenhage                           ;Scheveningen Badplaats;3
33058;4145009;3331GE;Zwijndrecht                             ;Hoveniersplein   Griend;1
33063;4151360;2564JC;s Gravenhage                           ;Vruchtenbuurt;4
33065;4151747;1061BT;Amsterdam                               ;Kolenkitbuurt Zuid;3
33075;4152169;7141EH;Oost Gelre                              ;Papendijk;3
33077;4175767;3039CD;Rotterdam                               ;Blijdorp;3
33079;4152068;3742AP;Baarn                                   ;Oude Oosterhei;4
33085;4194465;7571BD;Oldenzaal                               ;Binnenstad;4
33087;4193527;7571CA;Oldenzaal                               ;Binnenstad;4
33088;4176369;6001GS;Weert                                   ;Weert Centrum;4
33095;4194795;1411CS;Gooise Meren                            ;Naarden Vesting;3
33117;4153072;5236AZ;s Hertogenbosch                        ;Kom Empel;3
33124;4153532;1701GC;Heerhugowaard                           ;Centrumwaard;4
33137;4197912;6433AM;Heerlen                                 ;Hoensbroek Centrum;4
33140;4166750;3112MA;Schiedam                                ;Newtonbuurt;3
33145;4198066;2565JS;s Gravenhage                           ;Bomenbuurt;4
33146;4198648;8012WL;Zwolle                                  ;Oud Assendorp;3
33153;4168328;1947KR;Beverwijk                               ;Oud Sportpark;3
33154;4168697;2271BL;Leidschendam Voorburg                   ;Voorburg Oud;3
33161;4169745;5381GJ;s Hertogenbosch                        ;Kom Vinkel;4
33162;4199607;7316LR;Apeldoorn                               ;Kerschoten;4
33169;4155755;1052RP;Amsterdam                               ;Bellamybuurt Noord;2
33170;4171141;9721AL;Groningen                               ;Helpman;4
33172;4166096;2902HR;Capelle aan den IJssel                  ;Oude Plaats;3
33174;4200694;2593TZ;s Gravenhage                           ;Bezuidenhout Oost;4
33177;4171171;2586CT;s Gravenhage                           ;Scheveningen Badplaats;3
33183;4184537;3235CE;Westvoorne                              ;Rockanje;4
33186;4166517;1214AS;Hilversum                               ;Bloemenkwartier Noord;4
33191;4185422;2283VH;Rijswijk                                ;Stationskwartier;4
33192;4166981;1782SM;Den Helder                              ;Indische buurt Noord;4
33193;4167178;1098NB;Amsterdam                               ;Middenmeer Zuid;4
33194;4203933;1214BR;Hilversum                               ;Bloemenkwartier Noord;4
33197;4202285;1061VX;Amsterdam                               ;Overtoomse Veld Noord;4
33202;4187330;5051LP;Goirle                                  ;Goirle Centrum;2
33203;4188190;1073VE;Amsterdam                               ;Sarphatiparkbuurt;4
33204;4167350;2324ET;Leiden                                  ;Fortuinwijk Noord;4
33205;4202703;3572VS;Utrecht                                 ;Wittevrouwen;4
33207;4176099;3083LS;Rotterdam                               ;Zuidplein;3
33210;4203022;1079ST;Amsterdam                               ;Rijnbuurt Oost;3
33221;4178740;7513KC;Enschede                                ;Horstlanden Stadsweide;3
33227;4204858;1073SL;Amsterdam                               ;Van der Helstpleinbuurt;2
33230;4179599;1079KG;Amsterdam                               ;Kromme Mijdrechtbuurt;1
33231;4168299;1702JJ;Heerhugowaard                           ;Recreatiebuurt;3
33234;4205171;5211NW;s Hertogenbosch                        ;Binnenstad Noord;4
33236;4168808;3817HC;Amersfoort                              ;De Driehoek;3
33244;4191833;1093GB;Amsterdam                               ;Dapperbuurt Noord;3
33245;4181506;4486BH;Noord Beveland                          ;Colijnsplaat;3
33253;4169096;2805PH;Gouda                                   ;Ouwe Gouwe;4
33258;4169504;7412VH;Deventer                                ;Noorderplein;2
33261;4192861;2532EV;s Gravenhage                           ;Moerwijk Oost;3
33262;4184364;2586EH;s Gravenhage                           ;Scheveningen Badplaats;3
33263;4207618;2295HZ;Westland                                ;Kwintsheul Centrumgebied;4
33275;4208909;5575BK;Bergeijk                                ;Tiliaans Weegbree e.o.;2
33279;4170042;9203RX;Smallingerland                          ;Centrum;4
33287;4187220;3201WE;Nissewaard                              ;Centrum Oost;3
33304;4194970;1622EN;Hoorn                                   ;Grote Waal   Buurt 13 04;3
33309;4211509;2034VP;Haarlem                                 ;Stedenbuurt oost;4
33310;4195580;2991EB;Barendrecht                             ;Centrum Oost;4
33320;4196703;3223GH;Hellevoetsluis                          ;Out Jaar;4
33322;4194567;6439AG;Schinnen                                ;Groot Doenrade;4
33348;4214941;3554HW;Utrecht                                 ;Schaakbuurt en omgeving;4
33350;4215109;2513EN;s Gravenhage                           ;Zeeheldenkwartier;4
33354;4195450;2541CA;s Gravenhage                           ;Morgenstond Zuid;4
33355;4171642;2742CA;Waddinxveen                             ;Groenswaard 1;4
33357;4196117;9501XR;Stadskanaal                             ;Stadskanaal Centrum;4
33362;4216411;4698AV;Tholen                                  ;Oud Vossemeer;4
33366;4172162;2613ZC;Delft                                   ;Agnetaparkbuurt;3
33368;4200562;1403HC;Gooise Meren                            ;Ooster Eng Zuid;4
33369;4216818;4318AC;Schouwen Duiveland                      ;Brouwershaven;4
33374;4201341;2394VJ;Alphen aan den Rijn                     ;Zonneveld;4
33387;4202369;1069GV;Amsterdam                               ;Zuidwestkwadrant Osdorp Noord;3
33390;4199519;3038JV;Rotterdam                               ;Bergpolder;4
33395;4203485;1435HN;Haarlemmermeer                          ;Rijsenhout Zuid;4
33406;4174111;5402ZD;Uden                                    ;Hoevenseveld;4
33407;4200705;6211KP;Maastricht                              ;Jekerkwartier;3
33409;4204585;3312XS;Dordrecht                               ;Indische Buurt Noord;3
33411;4201087;9501XR;Stadskanaal                             ;Stadskanaal Centrum;4
33429;4201883;2201CV;Noordwijk                               ;Beeklaan kwartier;4
33436;4202851;2665BR;Lansingerland                           ;Sterrenbuurt;4
33438;4223155;5021CN;Tilburg                                 ;Broekhoven I;4
33445;4206711;1057BG;Amsterdam                               ;Orteliusbuurt Midden;2
33479;4176566;2011KJ;Haarlem                                 ;Stationsbuurt;3
33485;4176841;3022LM;Rotterdam                               ;Nieuwe Westen;3
33486;4207180;9671GX;Oldambt                                 ;Winschoten Centrum;4
33491;4207722;2681HD;Westland                                ;Polanen;3
33516;4212107;3038XS;Rotterdam                               ;Bergpolder;4
33518;4177848;2586TT;s Gravenhage                           ;Scheveningen Badplaats;3
33519;4178782;1056SL;Amsterdam                               ;Jan Maijenbuurt;3
33534;4229142;3604DG;Stichtse Vecht                          ;Op Buuren;4
33541;4229120;1054WS;Amsterdam                               ;Cremerbuurt West;4
33544;4213998;6836KK;Arnhem                                  ;Rijkerswoerd Midden;4
33550;4214902;1402TV;Gooise Meren                            ;Donderstraat;4
33576;4217413;3514GC;Utrecht                                 ;Tuinwijk Oost;3
33591;4213196;1363DE;Almere                                  ;Europakwartier;4
33592;4218593;1051GT;Amsterdam                               ;Fannius Scholtenbuurt;2
33602;4213064;6418BG;Heerlen                                 ;Heerlerbaan Oost;4
33614;4213786;4311CC;Schouwen Duiveland                      ;Bruinisse;4
33619;4220473;1051GT;Amsterdam                               ;Fannius Scholtenbuurt;2
33621;4220655;2025MA;Haarlem                                 ;Rivierenbuurt;3
33630;4181956;1211JE;Hilversum                               ;Havenstraatbuurt;3
33631;4220949;2013SP;Haarlem                                 ;Leidsebuurt oost;3
33636;4238203;8251TN;Dronten                                 ;De Lancaster;3
33641;4215885;3031SX;Rotterdam                               ;Rubroek;4
33642;4238545;1073BW;Amsterdam                               ;Sarphatiparkbuurt;4
33650;4238867;8141EV;Raalte                                  ;Heino Oost;4
33658;4223726;3572VJ;Utrecht                                 ;Wittevrouwen;4
33659;4182799;3119NH;Schiedam                                ;Schiehart;4
33660;4182954;2273RA;Leidschendam Voorburg                   ;Bovenveen;4
33671;4224420;8501HG;De Fryske Marren                        ;Joure  Blaauwhof;4
33680;4224840;6627AD;West Maas en Waal                       ;Kern Maasbommel;3
33686;4218992;4824PE;Breda                                   ;Gageldonk;4
33697;4239894;3985SR;Bunnik                                  ;Werkhoven;4
33703;4220464;1017XZ;Amsterdam                               ;Den Texbuurt;3
33707;4240086;3076XE;Rotterdam                               ;Lombardijen;4
33711;4226811;3131HT;Vlaardingen                             ;Centrum;3
33724;4185210;3401AR;IJsselstein                             ;Kasteelkwartier;4
33729;4227514;4318AJ;Schouwen Duiveland                      ;Brouwershaven;4
33737;4241629;6971EG;Brummen                                 ;Brummen Centrum;3
33741;4221971;2273KS;Leidschendam Voorburg                   ;Bovenveen;4
33745;4185684;1055CE;Amsterdam                               ;Erasmusparkbuurt West;2
33752;4228268;5658LL;Eindhoven                               ;Meerrijk;2
33771;4249140;1013TM;Amsterdam                               ;Spaarndammerbuurt Zuidwest;2
33775;4185893;2273RA;Leidschendam Voorburg                   ;Bovenveen;4
33781;4250467;2518BE;s Gravenhage                           ;Zeeheldenkwartier;4
33782;4250579;2518BE;s Gravenhage                           ;Zeeheldenkwartier;4
33786;4187073;2566NJ;s Gravenhage                           ;Bloemenbuurt Oost;3
33802;4225557;3039VB;Rotterdam                               ;Blijdorp;3
33812;4232670;1054MK;Amsterdam                               ;Cremerbuurt West;4
33817;4233990;3317VG;Dordrecht                               ;Van Ewijckstraat en omgeving;3
33820;4234048;3514VD;Utrecht                                 ;Vogelenbuurt;2
33822;4226930;6004HK;Weert                                   ;Groenewoud Zuid;3
33826;4189095;2011DK;Haarlem                                 ;Heiliglanden;3
33828;4252047;5011NN;Tilburg                                 ;Heikant Zuid West;3
33832;4227569;3331AB;Zwijndrecht                             ;Prins Bernhardstraat en omgeving;4
33850;4189913;1901AW;Castricum                               ;Centrum Noord;4
33857;4190110;3135PV;Vlaardingen                             ;Babberspolder West;3
33860;4254161;1213EZ;Hilversum                               ;Schilderskwartier;4
33862;4229279;9713HD;Groningen                               ;Gorechtbuurt;3
33865;4190638;2562XJ;s Gravenhage                           ;Valkenboskwartier;3
33867;4229220;1086ZL;Amsterdam                               ;Steigereiland Zuid;3
33879;4259586;2597AV;s Gravenhage                           ;Waalsdorp;4
33881;4229347;1079VM;Amsterdam                               ;Kromme Mijdrechtbuurt;1
33885;4238994;5623RB;Eindhoven                               ;Oude Toren;4
33887;4229795;3551TM;Utrecht                                 ;Egelantierstraat  Mariëndaalstraat e.o.;2
33895;4191355;1274HW;Huizen                                  ;Bovenmaat Noord;3
33897;4229946;1972WX;Velsen                                  ;Rivierenbuurt;2
33898;4254773;2597AV;s Gravenhage                           ;Waalsdorp;4
33900;4229984;2995AV;Zwijndrecht                             ;Dorp Noordoost;4
33907;4230290;2295NE;Westland                                ;Kwintsheul Centrumgebied;4
33917;4241472;8021VH;Zwolle                                  ;Schildersbuurt;2
33918;4230823;3083ZJ;Rotterdam                               ;Carnisse;3
