;Gemeentenaam;month;koopprijs
150;Ameland;10;275500.0
151;Ameland;12;317250.0
152;Amersfoort;1;357837.91878172586
153;Amersfoort;2;318313.42063492065
154;Amersfoort;3;329306.2827225131
155;Amersfoort;4;334213.96396396396
156;Amersfoort;5;382730.9917355372
157;Amersfoort;6;364138.7755102041
158;Amersfoort;7;338336.80555555556
159;Amersfoort;8;364767.85714285716
160;Amersfoort;9;357687.3786407767
161;Amersfoort;10;336464.4549763033
162;Amersfoort;11;347531.72043010755
163;Amersfoort;12;346345.1327433628
164;Amstelveen;1;470178.5714285714
165;Amstelveen;2;506930.9756097561
166;Amstelveen;3;504281.4285714286
167;Amstelveen;4;505857.3626373626
168;Amstelveen;5;492142.978021978
169;Amstelveen;6;529950.7407407408
170;Amstelveen;7;465272.43902439025
171;Amstelveen;8;524337.1739130435
172;Amstelveen;9;473066.1743119266
173;Amstelveen;10;458827.0641025641
174;Amstelveen;11;500415.3846153846
175;Amstelveen;12;492583.4482758621
176;Amsterdam;1;495867.2902240326
177;Amsterdam;2;466817.43959243083
178;Amsterdam;3;478034.4347332577
179;Amsterdam;4;503896.45185185183
180;Amsterdam;5;516320.4234042553
181;Amsterdam;6;514915.33518930955
182;Amsterdam;7;487624.7375
183;Amsterdam;8;455370.85507246375
184;Amsterdam;9;510853.0484330484
185;Amsterdam;10;496407.8140756303
186;Amsterdam;11;492860.6296296296
187;Amsterdam;12;538319.0986460348
188;Apeldoorn;1;263125.8992805755
189;Apeldoorn;2;279470.5729166667
190;Apeldoorn;3;303686.3829787234
191;Apeldoorn;4;325464.28571428574
192;Apeldoorn;5;332252.9919678715
193;Apeldoorn;6;295101.7699115044
194;Apeldoorn;7;284744.9704142012
195;Apeldoorn;8;304946.7455621302
196;Apeldoorn;9;303079.3386243386
197;Apeldoorn;10;305477.72925764194
198;Apeldoorn;11;302932.8131868132
199;Apeldoorn;12;284454.0
200;Appingedam;1;213071.42857142858
201;Appingedam;2;211666.66666666666
202;Appingedam;3;207593.75
203;Appingedam;4;134057.14285714287
204;Appingedam;5;296357.14285714284
205;Appingedam;6;316580.0
206;Appingedam;7;170687.5
207;Appingedam;8;156307.6923076923
208;Appingedam;9;181937.5
209;Appingedam;10;215850.0
210;Appingedam;11;176142.85714285713
211;Appingedam;12;145083.33333333334
212;Arnhem;1;265003.64238410594
213;Arnhem;2;241921.14615384614
214;Arnhem;3;278583.0310880829
215;Arnhem;4;243698.35390946502
216;Arnhem;5;261496.24277456646
217;Arnhem;6;269455.6074766355
218;Arnhem;7;277180.7662337662
219;Arnhem;8;252884.73053892216
220;Arnhem;9;278156.3966480447
221;Arnhem;10;262082.53012048194
222;Arnhem;11;264814.42307692306
223;Arnhem;12;278288.60975609755
224;Assen;1;251479.16666666666
225;Assen;2;219276.15384615384
226;Assen;3;222588.09523809524
227;Assen;4;245894.20289855072
228;Assen;5;218377.29347826086
229;Assen;6;256565.24822695035
230;Assen;7;257128.32142857142
231;Assen;8;228368.13186813187
232;Assen;9;254945.1607142857
233;Assen;10;222220.88607594935
234;Assen;11;231139.4393939394
235;Assen;12;227033.33333333334
236;Asten;1;290363.63636363635
237;Asten;2;317133.3333333333
238;Asten;3;274687.5
239;Asten;4;240450.0
240;Asten;5;374678.5714285714
241;Asten;6;324000.0
242;Asten;7;261689.16666666666
243;Asten;8;369172.7272727273
244;Asten;9;312333.3333333333
245;Asten;10;305625.0
246;Asten;11;405125.0
247;Asten;12;298555.55555555556
248;Baarle-Nassau;1;365200.0
249;Baarle-Nassau;2;489000.0
250;Baarle-Nassau;3;363000.0
251;Baarle-Nassau;4;280800.0
252;Baarle-Nassau;5;331000.0
253;Baarle-Nassau;6;396166.6666666667
254;Baarle-Nassau;7;282666.6666666667
255;Baarle-Nassau;8;329416.6666666667
256;Baarle-Nassau;9;248166.66666666666
257;Baarle-Nassau;10;533750.0
258;Baarle-Nassau;11;338166.6666666667
259;Baarle-Nassau;12;326666.6666666667
260;Baarn;1;373407.4074074074
261;Baarn;2;373571.4285714286
262;Baarn;3;385557.14285714284
263;Baarn;4;432269.23076923075
264;Baarn;5;447939.3939393939
265;Baarn;6;510108.6956521739
266;Baarn;7;386677.4193548387
267;Baarn;8;391047.61904761905
268;Baarn;9;434706.8965517241
269;Baarn;10;421016.12903225806
270;Baarn;11;458000.0
271;Baarn;12;507636.36363636365
272;Barendrecht;1;322272.0930232558
273;Barendrecht;2;345137.5
274;Barendrecht;3;344571.875
275;Barendrecht;4;345651.0869565217
276;Barendrecht;5;350601.85185185185
277;Barendrecht;6;320712.962962963
278;Barendrecht;7;362707.30337078654
279;Barendrecht;8;353560.6060606061
280;Barendrecht;9;358250.0
281;Barendrecht;10;324926.78571428574
282;Barendrecht;11;345433.3333333333
283;Barendrecht;12;390440.4761904762
284;Barneveld;1;334023.8095238095
285;Barneveld;2;354142.22222222225
286;Barneveld;3;344307.6923076923
287;Barneveld;4;326110.20408163266
288;Barneveld;5;388191.8604651163
289;Barneveld;6;360945.7482993197
290;Barneveld;7;354471.9827586207
291;Barneveld;8;356487.38636363635
292;Barneveld;9;353108.3333333333
293;Barneveld;10;371866.36363636365
294;Barneveld;11;330650.0
295;Barneveld;12;361564.6551724138
296;Bedum;1;206700.0
297;Bedum;2;230350.0
298;Bedum;3;218656.25
299;Bedum;4;160475.0
300;Bedum;5;216352.9411764706
301;Bedum;6;224686.66666666666
302;Bedum;7;261500.0
303;Bedum;8;286842.85714285716
304;Bedum;9;199866.66666666666
305;Bedum;10;217066.66666666666
306;Bedum;11;227590.0
307;Bedum;12;213000.0
308;Beek;1;252250.0
309;Beek;2;204333.33333333334
310;Beek;3;256988.88888888888
311;Beek;4;247222.22222222222
312;Beek;5;265976.1904761905
313;Beek;6;238333.33333333334
314;Beek;7;247857.14285714287
315;Beek;8;222111.11111111112
316;Beek;9;346545.45454545453
317;Beek;10;268409.0909090909
318;Beek;11;293800.0
319;Beek;12;260227.27272727274
320;Beemster;1;562300.0
321;Beemster;2;415000.0
322;Beemster;3;349150.0
323;Beemster;4;567125.0
324;Beemster;5;377678.5714285714
325;Beemster;6;431543.8
326;Beemster;7;418730.76923076925
327;Beemster;8;340750.0
328;Beemster;9;438500.0
329;Beemster;10;674000.0
330;Beemster;11;493428.5714285714
331;Beemster;12;460000.0
332;Beesel;1;191166.66666666666
333;Beesel;2;282166.6666666667
334;Beesel;3;237333.33333333334
335;Beesel;4;227687.5
336;Beesel;5;245571.42857142858
337;Beesel;6;213700.0
338;Beesel;7;183166.66666666666
339;Beesel;8;265681.8181818182
340;Beesel;9;227312.5
341;Beesel;10;235222.22222222222
342;Beesel;11;224357.14285714287
343;Beesel;12;217500.0
344;Berg en Dal;1;329453.125
345;Berg en Dal;2;280555.55555555556
346;Berg en Dal;3;299568.9655172414
347;Berg en Dal;4;280216.12903225806
348;Berg en Dal;5;312028.8461538461
349;Berg en Dal;6;293636.36363636365
350;Berg en Dal;7;302300.0
351;Berg en Dal;8;315689.6551724138
352;Berg en Dal;9;292382.35294117645
353;Berg en Dal;10;329516.12903225806
354;Berg en Dal;11;321586.2068965517
355;Berg en Dal;12;267666.6666666667
356;Bergeijk;1;471050.0
357;Bergeijk;2;318586.36363636365
358;Bergeijk;3;356607.14285714284
359;Bergeijk;4;417833.3333333333
360;Bergeijk;5;375630.4347826087
361;Bergeijk;6;428846.1538461539
362;Bergeijk;7;331781.25
363;Bergeijk;8;282633.3333333333
364;Bergeijk;9;374214.28571428574
365;Bergeijk;10;385733.3333333333
366;Bergeijk;11;310500.0
367;Bergeijk;12;417285.71428571426
368;Bergen (L.);1;270800.0
369;Bergen (L.);2;275350.0
370;Bergen (L.);3;215250.0
371;Bergen (L.);4;248375.0
372;Bergen (L.);5;225900.0
373;Bergen (L.);6;200600.0
374;Bergen (L.);7;268550.0
375;Bergen (L.);8;236500.0
376;Bergen (L.);9;237450.0
377;Bergen (L.);10;231555.55555555556
378;Bergen (L.);11;244666.66666666666
379;Bergen (L.);12;205749.0
380;Bergen (NH.);1;442642.85714285716
381;Bergen (NH.);2;427750.0
382;Bergen (NH.);3;433621.2121212121
383;Bergen (NH.);4;697818.1818181818
384;Bergen (NH.);5;525189.6551724138
385;Bergen (NH.);6;544153.8461538461
386;Bergen (NH.);7;508107.14285714284
387;Bergen (NH.);8;441560.0
388;Bergen (NH.);9;494852.9411764706
389;Bergen (NH.);10;525160.7142857143
390;Bergen (NH.);11;422985.71428571426
391;Bergen (NH.);12;708117.6470588235
392;Bergen op Zoom;1;244987.05128205128
393;Bergen op Zoom;2;268470.5882352941
394;Bergen op Zoom;3;250215.29411764705
395;Bergen op Zoom;4;244823.5294117647
396;Bergen op Zoom;5;260539.68253968254
397;Bergen op Zoom;6;282224.28571428574
398;Bergen op Zoom;7;251000.0
399;Bergen op Zoom;8;258500.0
400;Bergen op Zoom;9;275697.2602739726
401;Bergen op Zoom;10;252696.55172413794
402;Bergen op Zoom;11;291935.48387096776
403;Bergen op Zoom;12;237556.97674418605
404;Berkelland;1;310213.15625
405;Berkelland;2;251728.57142857142
406;Berkelland;3;267556.4516129032
407;Berkelland;4;332892.85714285716
408;Berkelland;5;301000.0
409;Berkelland;6;310485.29411764705
410;Berkelland;7;309166.6666666667
411;Berkelland;8;295051.724137931
412;Berkelland;9;267933.3333333333
413;Berkelland;10;274739.8333333333
414;Berkelland;11;257866.66666666666
415;Berkelland;12;274208.3333333333
416;Bernheze;1;325710.5263157895
417;Bernheze;2;341730.76923076925
418;Bernheze;3;328045.45454545453
419;Bernheze;4;330571.4285714286
420;Bernheze;5;338950.0
421;Bernheze;6;312053.5714285714
422;Bernheze;7;330184.2105263158
423;Bernheze;8;356333.3333333333
424;Bernheze;9;321613.63636363635
425;Bernheze;10;333250.0
426;Bernheze;11;335452.38095238095
427;Bernheze;12;398078.94736842107
428;Best;1;341346.4285714286
429;Best;2;300550.0
430;Best;3;321275.8620689655
431;Best;4;290420.0
432;Best;5;323120.6896551724
433;Best;6;430965.9090909091
434;Best;7;352402.77777777775
435;Best;8;311173.9130434783
436;Best;9;353940.4761904762
437;Best;10;310304.347826087
438;Best;11;322350.0
439;Best;12;391333.3333333333
440;Beuningen;1;296200.0
441;Beuningen;2;277750.0
442;Beuningen;3;314733.3333333333
443;Beuningen;4;361538.46153846156
444;Beuningen;5;310794.1176470588
445;Beuningen;6;237675.0
446;Beuningen;7;244194.44444444444
447;Beuningen;8;339990.74074074073
448;Beuningen;9;312338.70967741933
449;Beuningen;10;297142.85714285716
450;Beuningen;11;283782.60869565216
451;Beuningen;12;303111.1111111111
452;Beverwijk;1;234015.15151515152
453;Beverwijk;2;240076.66666666666
454;Beverwijk;3;249327.6595744681
455;Beverwijk;4;239689.1891891892
456;Beverwijk;5;259978.72340425532
457;Beverwijk;6;274471.4285714286
458;Beverwijk;7;240785.7142857143
459;Beverwijk;8;338226.1904761905
460;Beverwijk;9;295543.8596491228
461;Beverwijk;10;254728.57142857142
462;Beverwijk;11;243756.0975609756
463;Beverwijk;12;219583.33333333334
464;Binnenmaas;1;284453.125
465;Binnenmaas;2;254497.36842105264
466;Binnenmaas;3;296351.35135135136
467;Binnenmaas;4;317625.0
468;Binnenmaas;5;311948.275862069
469;Binnenmaas;6;351916.6666666667
470;Binnenmaas;7;311719.3548387097
471;Binnenmaas;8;276206.8965517241
472;Binnenmaas;9;330625.0
473;Binnenmaas;10;273980.76923076925
474;Binnenmaas;11;261551.55172413794
475;Binnenmaas;12;302309.0909090909
476;Bladel;1;356694.44444444444
477;Bladel;2;320611.1111111111
478;Bladel;3;350470.5882352941
479;Bladel;4;263681.8181818182
480;Bladel;5;341480.0
481;Bladel;6;381696.4285714286
482;Bladel;7;336950.0
483;Bladel;8;423954.45454545453
484;Bladel;9;311687.5
485;Bladel;10;333820.0
486;Bladel;11;321970.5882352941
487;Bladel;12;313000.0
488;Blaricum;1;686977.2727272727
489;Blaricum;2;1156187.5
490;Blaricum;3;758533.3333333334
491;Blaricum;4;708223.75
492;Blaricum;5;1084630.4347826086
493;Blaricum;6;658211.5384615385
494;Blaricum;7;535409.0909090909
495;Blaricum;8;618535.6428571428
496;Blaricum;9;719088.2352941176
497;Blaricum;10;702346.1538461539
498;Blaricum;11;778840.0
499;Blaricum;12;702750.0
500;Bloemendaal;1;1185705.8823529412
501;Bloemendaal;2;872769.2307692308
502;Bloemendaal;3;662757.5757575758
503;Bloemendaal;4;854100.0
504;Bloemendaal;5;955482.7586206896
505;Bloemendaal;6;844342.8571428572
506;Bloemendaal;7;843516.1290322581
507;Bloemendaal;8;651625.0
508;Bloemendaal;9;911017.2413793104
509;Bloemendaal;10;928526.3157894737
510;Bloemendaal;11;1032125.0
511;Bloemendaal;12;1188071.4285714286
512;Bodegraven-Reeuwijk;1;283942.85714285716
513;Bodegraven-Reeuwijk;2;310860.0
514;Bodegraven-Reeuwijk;3;407784.3137254902
515;Bodegraven-Reeuwijk;4;313281.25
516;Bodegraven-Reeuwijk;5;383745.28301886795
